cells=#..$#..##$.$#... progress=2.967471087983682 time_elapsed=60s time_left=33min
keysOpenedStats: average=16.523546449259815 deviation=20.913072506374217 max=707

cells=$.#.$$.##.$#.$.. progress=4.705364201840136 time_elapsed=120s time_left=41min
keysOpenedStats: average=15.556588514504256 deviation=20.169337918067843 max=707

cells=$.#$#..$#.$$#$.. progress=6.757583231484693 time_elapsed=180s time_left=41min
keysOpenedStats: average=16.496291058078203 deviation=22.209865282795555 max=804

cells=..#$$.$.$.$.##.. progress=10.03094521415464 time_elapsed=240s time_left=36min
keysOpenedStats: average=14.931664835221262 deviation=20.88729050900156 max=847

cells=.#.#$##..###..$. progress=12.304797849759568 time_elapsed=300s time_left=36min
keysOpenedStats: average=14.599064422188507 deviation=20.196260239946884 max=847

cells=$.$.$#.$.$.#$.$. progress=13.22086994733002 time_elapsed=360s time_left=39min
keysOpenedStats: average=15.455943427791702 deviation=22.36257268863708 max=975

cells=.$.#$.#.#$#$#.$. progress=14.346033464430427 time_elapsed=420s time_left=42min
keysOpenedStats: average=15.68615515208371 deviation=22.910169510111253 max=975

cells=$...$..#$.#.$$$. progress=16.349324260958227 time_elapsed=480s time_left=41min
keysOpenedStats: average=15.904266010008921 deviation=23.258340257996664 max=975

cells=##.###.$##...#$. progress=18.64718104777365 time_elapsed=540s time_left=39min
keysOpenedStats: average=16.28593538157119 deviation=24.595832736129218 max=975

cells=$.$.#$$$$.$...#. progress=22.38237611640617 time_elapsed=10min time_left=35min
keysOpenedStats: average=16.119319103010533 deviation=25.010256507911027 max=975

cells=$$$.#.$$.$.#$.#. progress=24.33274069818233 time_elapsed=11min time_left=34min
keysOpenedStats: average=15.869249140387659 deviation=24.876339382253754 max=975

cells=$.$....#.$.$$$#. progress=27.627925481246297 time_elapsed=12min time_left=31min
keysOpenedStats: average=15.574474019628566 deviation=24.734642060460068 max=975

cells=$..#$$.$..$.###. progress=32.241900608411036 time_elapsed=13min time_left=27min
keysOpenedStats: average=15.066226730091635 deviation=24.085427821593182 max=975

cells=.$#.#...$$.#...$ progress=34.21777003642159 time_elapsed=14min time_left=27min
keysOpenedStats: average=14.942073564742282 deviation=23.857839921696836 max=975

cells=$#$$..$..#.$$..$ progress=35.07266674272356 time_elapsed=15min time_left=28min
keysOpenedStats: average=15.180343540852373 deviation=24.433633040254254 max=975

cells=$..$#.$.$$$$#..$ progress=36.41426718657619 time_elapsed=16min time_left=28min
keysOpenedStats: average=15.352669416764636 deviation=24.88764643375226 max=975

cells=#.$#$...$.$$.$.$ progress=37.601314627425396 time_elapsed=17min time_left=28min
keysOpenedStats: average=15.425655510700905 deviation=25.11996397637028 max=975

cells=$..$$$$$#..$$$.$ progress=38.72120248136902 time_elapsed=18min time_left=28min
keysOpenedStats: average=15.721281699817395 deviation=25.95778556221028 max=975

cells=.$.$.$#...#$#$.$ progress=40.19606510795561 time_elapsed=19min time_left=28min
keysOpenedStats: average=15.995390396046329 deviation=26.589574572665423 max=975

cells=.##.#.#$....##.$ progress=43.218776175774224 time_elapsed=20min time_left=26min
keysOpenedStats: average=15.803835990132322 deviation=26.37355706397189 max=975

cells=#.$.#$##....$.$$ progress=45.693526807767775 time_elapsed=21min time_left=25min
keysOpenedStats: average=15.68688861042049 deviation=26.193022108160196 max=975

cells=$...$#$..$..#.$$ progress=46.96231798933071 time_elapsed=22min time_left=25min
keysOpenedStats: average=15.999837463859285 deviation=27.044522273479533 max=976

cells=$.$$$#.$$..#.$$$ progress=48.99291864762475 time_elapsed=23min time_left=24min
keysOpenedStats: average=16.145896658972685 deviation=27.350105704856578 max=976

cells=#$.$$.#$$....#$$ progress=51.875823480259974 time_elapsed=24min time_left=22min
keysOpenedStats: average=16.449738613619626 deviation=28.242276544360205 max=976

cells=.$$$$..$$$.$..#$ progress=56.0334037986308 time_elapsed=25min time_left=20min
keysOpenedStats: average=16.33624194443512 deviation=28.077976406206098 max=976

cells=$.#.$#.$$...$$#$ progress=60.51551057744909 time_elapsed=26min time_left=17min
keysOpenedStats: average=16.300250511928493 deviation=28.047771049665172 max=976

cells=$$.$..$.$.$....# progress=66.82084798050008 time_elapsed=27min time_left=13min
keysOpenedStats: average=16.1147764939045 deviation=27.73785163205139 max=976

cells=$.$##...$$$$$..# progress=68.51142273995737 time_elapsed=28min time_left=13min
keysOpenedStats: average=16.000687814403783 deviation=27.3793812399413 max=976

cells=.$$$$#.#$.$..$.# progress=70.5343549860627 time_elapsed=29min time_left=12min
keysOpenedStats: average=15.814807506197704 deviation=26.946266427079493 max=976

cells=.$$$.#...$.$$$.# progress=72.06340524752164 time_elapsed=30min time_left=12min
keysOpenedStats: average=15.816160643497135 deviation=26.804702141184936 max=976

cells=$$.$#.#$$...$#.# progress=75.33279944830177 time_elapsed=31min time_left=10min
keysOpenedStats: average=15.642118692735265 deviation=26.399187629605688 max=976

cells=$$.$$..#$$.$..$# progress=78.26068796273704 time_elapsed=32min time_left=533s
keysOpenedStats: average=15.439105754003682 deviation=26.0492569301798 max=976

cells=##$.$..$$.$.#.$# progress=80.40463755648194 time_elapsed=33min time_left=483s
keysOpenedStats: average=15.475902802767033 deviation=26.108776863382698 max=1055

cells=$..$........#$$# progress=83.95068232955538 time_elapsed=34min time_left=390s
keysOpenedStats: average=15.510584164585811 deviation=26.16575826988639 max=1055

cells=$.$#.$..$$#...## progress=89.22491680609076 time_elapsed=35min time_left=254s
keysOpenedStats: average=15.356683774220555 deviation=25.82277538015343 max=1055

cells=$$..#..##..##.## progress=92.22209979710185 time_elapsed=36min time_left=182s
keysOpenedStats: average=15.176563079210732 deviation=25.464946361022438 max=1055

cells=$..#$#$..$..$### progress=97.57972738504287 time_elapsed=37min time_left=55s
keysOpenedStats: average=14.99010192180295 deviation=25.12618335746764 max=1055

